,id_quadra_logradouro,id_quadra,cd_logradouro,nm_logradouro
7422,01.01.122_ETTORE GIOVINE,01.01.122,106,ETTORE GIOVINE
9882,01.01.122_PERNAMBUCO,01.01.122,95,PERNAMBUCO
7260,01.01.122_RIO GRANDE DO NORTE,01.01.122,96,RIO GRANDE DO NORTE
3642,01.01.123_DISTRITO FEDERAL,01.01.123,75,DISTRITO FEDERAL
20398,01.01.123_ETTORE GIOVINE,01.01.123,106,ETTORE GIOVINE
5425,01.01.123_RIO GRANDE DO NORTE,01.01.123,96,RIO GRANDE DO NORTE
28832,01.01.124_AMAZONAS,01.01.124,105,AMAZONAS
7765,01.01.124_DISTRITO FEDERAL,01.01.124,75,DISTRITO FEDERAL
5093,01.01.124_PERNAMBUCO,01.01.124,95,PERNAMBUCO
827,01.02.001_DR PEDRO MIRANDA,01.02.001,250,DR PEDRO MIRANDA
21313,01.02.001_LUIZ SPIGOLON,01.02.001,118,LUIZ SPIGOLON
21314,01.02.001_RIO GRANDE DO SUL,01.02.001,83,RIO GRANDE DO SUL
21317,01.02.001_SANTA CATARINA,01.02.001,84,SANTA CATARINA
21221,01.02.002_DR PEDRO MIRANDA,01.02.002,250,DR PEDRO MIRANDA
21224,01.02.002_EDSON MARTINS,01.02.002,249,EDSON MARTINS
